"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          0,           0,         114,      -5.184525947,      -3.065516073,      -3.171737272,      -3.297078191,     -0.5182772465,      -2.320310118,    -0.04343110511,   7.961558616e-11,   8.870073019e-05,                 1,                 1,                 1
          0,           0,         115,      -5.184630192,       -3.06605289,       -3.17259075,      -3.298684412,     -0.5186644719,      -2.320451834,    -0.04342706188,   7.961523655e-11,   8.870072153e-05,                 1,                 1,                 1
          0,           0,         116,      -5.184713172,      -3.066219049,      -3.173255767,      -3.299943038,     -0.5184866261,      -2.320608059,    -0.04343250186,   7.961488712e-11,    8.87007129e-05,                 1,                 1,                 1
          0,           0,         117,      -5.184861509,       -3.06608969,      -3.173765656,      -3.301008818,     -0.5214904776,      -2.320778365,    -0.04344884927,   7.961453786e-11,   8.870070429e-05,                 1,                 1,                 1
          0,           0,         118,      -5.185055495,      -3.066078363,      -3.174151374,       -3.30197101,     -0.5268540248,      -2.320962244,    -0.04338689082,   7.961418877e-11,   8.870069571e-05,                 1,                 1,                 1
          0,           0,         119,      -5.185236699,       -3.06630454,      -3.174476433,      -3.302950941,      -0.532017185,      -2.321159064,    -0.04331060636,   7.961383986e-11,   8.870068716e-05,                 1,                 1,                 1
          0,           0,         120,      -5.185383158,      -3.066793265,      -3.174735374,      -3.303954412,     -0.5359221732,      -2.321368099,     -0.0432157681,   7.961349113e-11,   8.870067864e-05,                 1,                 1,                 1
          0,           0,         121,      -5.185482788,      -3.067413084,      -3.174990142,      -3.304937372,     -0.5379151756,      -2.321588687,    -0.04312437996,   7.961314257e-11,   8.870067015e-05,                 1,                 1,                 1
          0,           0,         122,       -5.18557287,      -3.068141415,      -3.175267582,      -3.305909243,     -0.5395962309,      -2.321820207,    -0.04304410486,   7.961279419e-11,   8.870066169e-05,                 1,                 1,                 1
          0,           0,         123,      -5.185620511,      -3.068963205,      -3.175578134,      -3.306903586,     -0.5393261769,      -2.322062081,    -0.04294769047,   7.961244599e-11,   8.870065327e-05,                 1,                 1,                 1
          0,           0,         124,      -5.185634974,      -3.069753579,      -3.175789032,      -3.307727652,     -0.5374559095,      -2.322313745,    -0.04284380897,   7.961209796e-11,   8.870064489e-05,                 1,                 1,                 1
          0,           0,         125,       -5.18567278,      -3.070346747,      -3.175962716,      -3.308498976,     -0.5365852208,       -2.32257467,    -0.04270534665,   7.961175012e-11,   8.870063656e-05,                 1,                 1,                 1
          0,           0,         126,       -5.18568852,      -3.070726882,      -3.175951923,      -3.308787415,     -0.5345268245,      -2.322844341,    -0.04257842767,   7.961140246e-11,   8.870062826e-05,                 1,                 1,                 1
